NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
PDGF_ERK_DN.V1_DN	149	96		
PDGF_ERK_DN.V1_UP	145	92		
PDGF_UP.V1_DN	135	60		
PDGF_UP.V1_UP	146	99		
TGFB_UP.V1_DN	191	118		
YAP1_DN	47	22		
YAP1_UP	47	28		
SIRNA_EIF4GI_DN	98	57		
SIRNA_EIF4GI_UP	95	62		
SINGH_KRAS_DEPENDENCY_SIGNATURE	20		Rejected!	
STK33_DN	280	174		
STK33_NOMO_DN	282	165		
STK33_SKM_DN	276	165		
KRAS.DF.V1_DN	193	103		
TBK1.DN.48HRS_DN	50	34		
TBK1.DN.48HRS_UP	50	31		
NFE2L2.V2	469	225		
CORDENONSI_YAP_CONSERVED_SIGNATURE	58	45		
JAK2_DN.V1_DN	146	91		
JAK2_DN.V1_UP	183	70		
PGF_UP.V1_DN	190	87		
E2F1_UP.V1_DN	187	130		
EGFR_UP.V1_UP	192	133		
ERBB2_UP.V1_UP	190	139		
CYCLIN_D1_KE_.V1_DN	191	91		
CYCLIN_D1_UP.V1_DN	190	108		
AKT_UP_MTOR_DN.V1_DN	186	110		
AKT_UP.V1_DN	188	130		
MTOR_UP.V1_DN	182	124		
VEGF_A_UP.V1_DN	193	118		
ATF2_S_UP.V1_DN	187	128		
ATF2_UP.V1_DN	185	131		
P53_DN.V1_DN	194	128		
SNF5_DN.V1_DN	157	91		
SNF5_DN.V1_UP	174	93		
LTE2_UP.V1_UP	188	124		
MEK_UP.V1_UP	195	144		
RAF_UP.V1_UP	193	137		
MTOR_UP.N4.V1_UP	196	135		
ESC_J1_UP_EARLY.V1_DN	173	108		
ESC_J1_UP_LATE.V1_DN	168	91		
ESC_V6.5_UP_EARLY.V1_DN	161	100		
ESC_V6.5_UP_LATE.V1_DN	179	99		
RPS14_DN.V1_UP	191	114		
HOXA9_DN.V1_UP	192	124		
STK33_NOMO_UP	290	186		
STK33_SKM_UP	278	163		
STK33_UP	285	185		
KRAS.DF.V1_UP	191	130		
TBK1.DF_DN	286	195		
TBK1.DF_UP	287	207		
LEF1_UP.V1_UP	194	129		
PGF_UP.V1_UP	190	131		
E2F1_UP.V1_UP	188	123		
EGFR_UP.V1_DN	196	139		
ERBB2_UP.V1_DN	197	128		
GCNP_SHH_UP_EARLY.V1_UP	173	92		
GCNP_SHH_UP_LATE.V1_UP	181	95		
HINATA_NFKB_IMMU_INF	15		Rejected!	
CSR_EARLY_UP.V1_UP	153	114		
CSR_LATE_UP.V1_DN	147	121		
CSR_LATE_UP.V1_UP	166	103		
AKT_UP_MTOR_DN.V1_UP	178	104		
AKT_UP.V1_UP	169	102		
MTOR_UP.V1_UP	169	93		
WNT_UP.V1_DN	171	92		
P53_DN.V2_UP	148	62		
RELA_DN.V1_UP	149	76		
P53_DN.V1_UP	194	133		
E2F3_UP.V1_DN	163	90		
MYC_UP.V1_DN	172	110		
MYC_UP.V1_UP	181	115		
SRC_UP.V1_DN	170	88		
SRC_UP.V1_UP	178	79		
LTE2_UP.V1_DN	195	141		
MEK_UP.V1_DN	193	131		
RAF_UP.V1_DN	193	145		
PRC1_BMI_UP.V1_DN	187	79		
PRC2_EED_DN.V1_DN	193	129		
PRC2_EZH2_UP.V1_DN	192	109		
PRC2_SUZ12_UP.V1_DN	192	82		
BRCA1_DN.V1_DN	139	65		
CTIP_DN.V1_DN	134	58		
PKCA_DN.V1_UP	159	68		
PTEN_DN.V2_DN	143	74		
DCA_UP.V1_DN	185	101		
ALK_DN.V1_DN	139	54		
ALK_DN.V1_UP	140	64		
BMI1_DN_MEL18_DN.V1_DN	147	88		
BMI1_DN_MEL18_DN.V1_UP	145	101		
BMI1_DN.V1_DN	140	85		
BMI1_DN.V1_UP	147	106		
MEL18_DN.V1_DN	147	83		
MEL18_DN.V1_UP	141	107		
PTEN_DN.V1_UP	186	95		
NOTCH_DN.V1_UP	186	85		
RB_DN.V1_UP	117	75		
RB_P107_DN.V1_UP	130	67		
RB_P130_DN.V1_UP	129	64		
CAHOY_ASTROGLIAL	100	67		
RPS14_DN.V1_DN	186	112		
IL15_UP.V1_UP	189	118		
IL2_UP.V1_UP	190	109		
IL21_UP.V1_UP	186	94		
TGFB_UP.V1_UP	189	121		
HOXA9_DN.V1_DN	190	129		
KRAS.AMP.LUNG_UP.V1_DN	142	61		
KRAS.AMP.LUNG_UP.V1_UP	140	53		
KRAS.300_UP.V1_DN	140	57		
KRAS.300_UP.V1_UP	142	79		
KRAS.50_UP.V1_DN	47		Rejected!	
KRAS.50_UP.V1_UP	48	30		
KRAS.600_UP.V1_DN	279	103		
KRAS.600_UP.V1_UP	278	143		
KRAS.600.LUNG.BREAST_UP.V1_DN	284	117		
KRAS.600.LUNG.BREAST_UP.V1_UP	280	130		
KRAS.BREAST_UP.V1_DN	143	62		
KRAS.BREAST_UP.V1_UP	140	60		
KRAS.KIDNEY_UP.V1_DN	135	51		
KRAS.KIDNEY_UP.V1_UP	141	85		
KRAS.LUNG_UP.V1_DN	142	54		
KRAS.LUNG_UP.V1_UP	140	59		
KRAS.LUNG.BREAST_UP.V1_DN	141	64		
KRAS.LUNG.BREAST_UP.V1_UP	141	69		
KRAS.PROSTATE_UP.V1_DN	141	51		
KRAS.PROSTATE_UP.V1_UP	137	60		
LEF1_UP.V1_DN	187	114		
