NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SNF5_DN.V1_UP	174	151		
LTE2_UP.V1_UP	188	168		
MEK_UP.V1_UP	195	172		
RAF_UP.V1_UP	193	173		
MTOR_UP.N4.V1_UP	196	182		
ESC_J1_UP_EARLY.V1_DN	173	152		
ESC_J1_UP_LATE.V1_DN	168	139		
ESC_V6.5_UP_EARLY.V1_DN	161	134		
ESC_V6.5_UP_LATE.V1_DN	179	143		
RPS14_DN.V1_UP	191	158		
HOXA9_DN.V1_UP	192	179		
STK33_NOMO_UP	290	260		
STK33_SKM_UP	278	241		
STK33_UP	285	258		
KRAS.DF.V1_UP	191	178		
TBK1.DF_DN	286	275		
TBK1.DF_UP	287	274		
LEF1_UP.V1_UP	194	156		
PGF_UP.V1_UP	190	177		
E2F1_UP.V1_UP	188	177		
EGFR_UP.V1_DN	196	177		
ERBB2_UP.V1_DN	197	190		
GCNP_SHH_UP_EARLY.V1_UP	173	152		
GCNP_SHH_UP_LATE.V1_UP	181	160		
HINATA_NFKB_IMMU_INF	15		Rejected!	
CSR_EARLY_UP.V1_UP	153	149		
CSR_LATE_UP.V1_DN	147	142		
CSR_LATE_UP.V1_UP	166	152		
AKT_UP_MTOR_DN.V1_UP	178	141		
AKT_UP.V1_UP	169	127		
MTOR_UP.V1_UP	169	125		
WNT_UP.V1_DN	171	123		
P53_DN.V2_UP	148	78		
RELA_DN.V1_UP	149	103		
P53_DN.V1_UP	194	169		
E2F3_UP.V1_DN	163	125		
MYC_UP.V1_DN	172	143		
MYC_UP.V1_UP	181	156		
SRC_UP.V1_DN	170	136		
SRC_UP.V1_UP	178	107		
LTE2_UP.V1_DN	195	182		
MEK_UP.V1_DN	193	178		
RAF_UP.V1_DN	193	175		
PRC1_BMI_UP.V1_DN	187	113		
PRC2_EED_DN.V1_DN	193	181		
PRC2_EZH2_UP.V1_DN	192	154		
PRC2_SUZ12_UP.V1_DN	192	118		
BRCA1_DN.V1_DN	139	95		
CTIP_DN.V1_DN	134	78		
PKCA_DN.V1_UP	159	94		
PTEN_DN.V2_DN	143	109		
DCA_UP.V1_DN	185	142		
ALK_DN.V1_DN	139	76		
ALK_DN.V1_UP	140	84		
BMI1_DN_MEL18_DN.V1_DN	147	112		
BMI1_DN_MEL18_DN.V1_UP	145	130		
BMI1_DN.V1_DN	140	108		
BMI1_DN.V1_UP	147	138		
MEL18_DN.V1_DN	147	111		
MEL18_DN.V1_UP	141	131		
PTEN_DN.V1_UP	186	118		
NOTCH_DN.V1_UP	186	131		
RB_DN.V1_UP	117	104		
RB_P107_DN.V1_UP	130	119		
RB_P130_DN.V1_UP	129	103		
CAHOY_ASTROGLIAL	100	80		
RPS14_DN.V1_DN	186	168		
IL15_UP.V1_UP	189	149		
IL2_UP.V1_UP	190	146		
IL21_UP.V1_UP	186	131		
TGFB_UP.V1_UP	189	153		
HOXA9_DN.V1_DN	190	170		
KRAS.AMP.LUNG_UP.V1_DN	142	86		
KRAS.AMP.LUNG_UP.V1_UP	140	74		
KRAS.300_UP.V1_DN	140	76		
KRAS.300_UP.V1_UP	142	90		
KRAS.50_UP.V1_DN	47	18		
KRAS.50_UP.V1_UP	48	31		
KRAS.600_UP.V1_DN	279	136		
KRAS.600_UP.V1_UP	278	171		
KRAS.600.LUNG.BREAST_UP.V1_DN	284	166		
KRAS.600.LUNG.BREAST_UP.V1_UP	280	159		
KRAS.BREAST_UP.V1_DN	143	84		
KRAS.BREAST_UP.V1_UP	140	74		
KRAS.KIDNEY_UP.V1_DN	135	71		
KRAS.KIDNEY_UP.V1_UP	141	94		
KRAS.LUNG_UP.V1_DN	142	71		
KRAS.LUNG_UP.V1_UP	140	82		
KRAS.LUNG.BREAST_UP.V1_DN	141	84		
KRAS.LUNG.BREAST_UP.V1_UP	141	85		
KRAS.PROSTATE_UP.V1_DN	141	71		
KRAS.PROSTATE_UP.V1_UP	137	87		
LEF1_UP.V1_DN	187	147		
