NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	24		Rejected!	
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	27		Rejected!	
GOBP_MATURATION_OF_LSU_RRNA	28	16		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	15		Rejected!	
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	7		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	12		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	10		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	43	22		
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	17		Rejected!	
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	15		Rejected!	
GOBP_TELOMERE_MAINTENANCE	132	76		
GOBP_RECOMBINATIONAL_REPAIR	164	86		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	19		Rejected!	
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	37	19		
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	26		Rejected!	
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	5		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	207	109		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GOBP_CELL_MORPHOGENESIS	1004		Rejected!	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	711	440		
GOBP_CYTOKINESIS	174	94		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	123	69		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	49	30		
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	20		Rejected!	
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23		Rejected!	
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	129	72		
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	9		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	8		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	523	327		
GOBP_OSSIFICATION	419	251		
GOBP_NEUROTRANSMITTER_UPTAKE	43	20		
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	214	110		
GOBP_ACTION_POTENTIAL	143	69		
GOBP_RNA_METHYLATION	83	42		
GOBP_PSEUDOURIDINE_SYNTHESIS	18		Rejected!	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	149	47		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	57	30		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	10		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	9		Rejected!	
GOBP_LUTEINIZATION	12		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	27		Rejected!	
GOBP_FATTY_ACID_ALPHA_OXIDATION	7		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	27		Rejected!	
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	35	22		
GOBP_VASCULOGENESIS	80	57		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	26	17		
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	16		Rejected!	
GOBP_MICROTUBULE_BUNDLE_FORMATION	119	55		
GOBP_OSTEOBLAST_DIFFERENTIATION	241	138		
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	353	220		
GOBP_METANEPHROS_DEVELOPMENT	89	56		
GOBP_TEMPERATURE_HOMEOSTASIS	177	107		
GOBP_FEVER_GENERATION	11		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	482	279		
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	36	25		
GOBP_ACROSOME_ASSEMBLY	18		Rejected!	
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	111	58		
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	155	77		
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	18		Rejected!	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	389	243		
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	26	17		
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	123	72		
GOBP_ENDODERM_FORMATION	55	36		
GOBP_CELL_FATE_SPECIFICATION	96	47		
GOBP_CELL_FATE_DETERMINATION	43	22		
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	17		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	15		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	11		Rejected!	
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	96	68		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	45	22		
GOBP_NEURAL_CREST_CELL_MIGRATION	60	36		
GOBP_SOMITOGENESIS	65	35		
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	24	17		
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	199	132		
GOBP_NEURON_MIGRATION	164	97		
GOBP_MEMBRANE_RAFT_ASSEMBLY	11		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	14		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	15		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29	16		
GOBP_MICROGLIAL_CELL_ACTIVATION	47	24		
GOBP_CELL_ACTIVATION	1095		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	89	52		
GOBP_PLASMA_MEMBRANE_REPAIR	24	20		
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	24	15		
GOBP_NEUTROPHIL_HOMEOSTASIS	16		Rejected!	
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	7		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	31	17		
GOBP_B_CELL_APOPTOTIC_PROCESS	26		Rejected!	
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	14		Rejected!	
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	5		Rejected!	
GOBP_CYTOKINE_PRODUCTION	828	389		
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	365	144		
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	476	236		
GOBP_SEROTONIN_SECRETION	9		Rejected!	
GOBP_HISTAMINE_SECRETION	12		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	99	55		
GOBP_BLASTOCYST_DEVELOPMENT	113	63		
GOBP_BLASTOCYST_FORMATION	43	24		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	19		Rejected!	
GOBP_BLASTOCYST_GROWTH	21		Rejected!	
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	13		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	56	43		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	164	108		
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	8		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	104	70		
GOBP_NEURAL_FOLD_FORMATION	6		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	6		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	17		Rejected!	
GOBP_NK_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	9		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RESPONSE_TO_YEAST	7		Rejected!	
GOBP_RECEPTOR_RECYCLING	33	21		
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	69	51		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	11		Rejected!	
GOBP_PLACENTA_DEVELOPMENT	148	92		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	88	52		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	33	24		
GOBP_RETINA_HOMEOSTASIS	80	32		
GOBP_CELL_KILLING	187	67		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	130	52		
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	85	33		
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	50	19		
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	40		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	30		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	22		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	12		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1104		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	726	401		
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	201	88		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	77	22		
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	111	54		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	36	26		
GOBP_VASCULATURE_DEVELOPMENT	819	467		
GOBP_LYMPH_VESSEL_DEVELOPMENT	30	22		
GOBP_LYMPHANGIOGENESIS	18		Rejected!	
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	123	80		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	40	24		
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	55	38		
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	17		Rejected!	
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27		Rejected!	
GOBP_STARTLE_RESPONSE	24		Rejected!	
GOBP_SUCKLING_BEHAVIOR	12		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	46	24		
GOBP_RESPONSE_TO_AMPHETAMINE	30		Rejected!	
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	14		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	38	16		
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	16		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	9		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	513	335		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	59	38		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	9		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	29		Rejected!	
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	6		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	12		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26		Rejected!	
GOBP_REGULATION_OF_HEART_RATE	105	52		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	90	50		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	15		Rejected!	
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	5		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	7		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	189	86		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	94	43		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	55		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	24	15		
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	23	15		
GOBP_CHONDROCYTE_DIFFERENTIATION	110	80		
GOBP_CHONDROCYTE_DEVELOPMENT	31	26		
GOBP_EPITHELIAL_CELL_DEVELOPMENT	208	139		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	92	54		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	44	32		
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	54	32		
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	29	20		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	6		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	15		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	18		Rejected!	
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	24	18		
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	13		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	86	50		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	22	16		
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	59	37		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	17		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	28	17		
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	18		Rejected!	
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	18		Rejected!	
GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION	15		Rejected!	
GOBP_STORE_OPERATED_CALCIUM_ENTRY	21		Rejected!	
GOBP_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	8		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	148	102		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	13		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	27	15		
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	5		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	82	45		
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS_INVOLVED_IN_IMMUNE_RESPONSE	52	30		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	58	35		
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	180	98		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	126	65		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	27		Rejected!	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	76	34		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31	20		
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	354	174		
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	123	70		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	9		Rejected!	
GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING	7		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	8		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	719	202		
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	41		Rejected!	
GOBP_IMMUNE_EFFECTOR_PROCESS	668	290		
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	379	162		
GOBP_LYMPHOCYTE_HOMEOSTASIS	65	37		
GOBP_MYELOID_CELL_HOMEOSTASIS	161	97		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	291	141		
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	234	129		
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	95	53		
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	55	33		
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	18		Rejected!	
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	21		Rejected!	
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	202	90		
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	116	44		
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	10		Rejected!	
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	76	33		
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT	17		Rejected!	
GOBP_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	86	44		
GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_PLASMA_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	22		Rejected!	
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	33		Rejected!	
GOBP_B_CELL_LINEAGE_COMMITMENT	6		Rejected!	
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	11		Rejected!	
GOBP_PRO_B_CELL_DIFFERENTIATION	12		Rejected!	
GOBP_MATURE_B_CELL_DIFFERENTIATION	34	15		
GOBP_RESPONSE_TO_TUMOR_CELL	40	21		
GOBP_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	10		Rejected!	
GOBP_DEFENSE_RESPONSE_TO_TUMOR_CELL	11		Rejected!	
GOBP_T_CELL_LINEAGE_COMMITMENT	28		Rejected!	
GOBP_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	8		Rejected!	
